26 characters,0.000000 seconds,0.003446 MB
7 characters,0.000000 seconds,0.002974 MB
16 characters,0.001006 seconds,0.011167 MB
18 characters,0.001000 seconds,0.010197 MB
7 characters,0.000000 seconds,0.002336 MB
69 characters,0.000000 seconds,0.002696 MB
119 characters,0.011583 seconds,0.082936 MB
132 characters,0.018072 seconds,0.181648 MB
134 characters,0.093016 seconds,0.188960 MB
114 characters,0.006011 seconds,0.058386 MB
595 characters,0.242237 seconds,1.937535 MB
838 characters,0.036074 seconds,0.464867 MB
305 characters,0.108302 seconds,0.731966 MB
619 characters,0.038515 seconds,0.348582 MB
215 characters,0.030089 seconds,0.248326 MB
578 characters,0.089530 seconds,0.773579 MB
993 characters,0.023725 seconds,0.355313 MB
982 characters,0.102793 seconds,0.721612 MB
590 characters,0.097198 seconds,0.760821 MB
409 characters,0.076528 seconds,0.500153 MB
1710 characters,0.151254 seconds,1.563219 MB
2461 characters,0.720770 seconds,5.671197 MB
1973 characters,0.409649 seconds,3.584455 MB
2778 characters,0.342019 seconds,3.127597 MB
2060 characters,0.128520 seconds,0.819642 MB
3634 characters,0.315981 seconds,3.304339 MB
3204 characters,0.768791 seconds,5.150785 MB
1701 characters,0.480451 seconds,3.826703 MB
3030 characters,0.986217 seconds,8.338881 MB
3476 characters,1.447551 seconds,10.462132 MB
14 characters,0.001435 seconds,0.016470 MB
40 characters,0.004263 seconds,0.017375 MB
15 characters,0.001250 seconds,0.006319 MB
16 characters,0.001053 seconds,0.010286 MB
25 characters,0.000000 seconds,0.001496 MB
207 characters,0.002572 seconds,0.074384 MB
74 characters,0.014383 seconds,0.071416 MB
107 characters,0.031117 seconds,0.193040 MB
54 characters,0.001998 seconds,0.027976 MB
69 characters,0.011307 seconds,0.108768 MB
566 characters,0.001011 seconds,0.001432 MB
240 characters,0.063541 seconds,0.466152 MB
262 characters,0.044109 seconds,0.345408 MB
608 characters,0.336489 seconds,0.936770 MB
370 characters,0.105850 seconds,0.909185 MB
350 characters,0.009091 seconds,0.145274 MB
509 characters,0.098546 seconds,0.941260 MB
512 characters,0.117697 seconds,1.060325 MB
615 characters,0.059315 seconds,0.471061 MB
554 characters,0.098589 seconds,0.970413 MB
1771 characters,0.066110 seconds,0.658705 MB
4688 characters,0.406294 seconds,4.179692 MB
2719 characters,0.923761 seconds,6.984552 MB
1722 characters,0.698990 seconds,4.790042 MB
2729 characters,1.815427 seconds,11.447541 MB
4023 characters,2.015108 seconds,14.560422 MB
4476 characters,0.013277 seconds,0.001665 MB
3646 characters,0.895243 seconds,5.141032 MB
3376 characters,1.550640 seconds,10.925655 MB
3034 characters,0.949332 seconds,7.549348 MB
25 characters,0.001010 seconds,0.016815 MB
24 characters,0.000000 seconds,0.003765 MB
16 characters,0.001006 seconds,0.009367 MB
7 characters,0.000000 seconds,0.005719 MB
56 characters,0.000000 seconds,0.001832 MB
92 characters,0.013498 seconds,0.148320 MB
86 characters,0.004997 seconds,0.061752 MB
105 characters,0.006102 seconds,0.043600 MB
108 characters,0.022026 seconds,0.135272 MB
49 characters,0.004077 seconds,0.031336 MB
541 characters,0.090660 seconds,0.958872 MB
196 characters,0.023726 seconds,0.171616 MB
237 characters,0.064495 seconds,0.355897 MB
633 characters,0.252466 seconds,2.091246 MB
336 characters,0.130842 seconds,0.508778 MB
555 characters,0.048854 seconds,0.272842 MB
601 characters,0.024072 seconds,0.269065 MB
510 characters,0.096977 seconds,0.972318 MB
488 characters,0.322046 seconds,2.507498 MB
503 characters,0.002093 seconds,0.001609 MB
1798 characters,0.576002 seconds,4.767844 MB
1457 characters,0.071214 seconds,0.804459 MB
2187 characters,0.338335 seconds,2.797069 MB
1254 characters,0.219687 seconds,1.957366 MB
2181 characters,0.560420 seconds,4.564597 MB
2788 characters,0.173830 seconds,1.932213 MB
3420 characters,3.581790 seconds,21.832605 MB
3098 characters,1.504406 seconds,9.248760 MB
9679 characters,0.456363 seconds,5.461474 MB
2831 characters,1.039685 seconds,7.246160 MB
